Dataset,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20
Moons,0.153,0.153,0.153,0.153,0.152,0.152,0.152,0.153,0.153,0.152,0.152,0.153,0.152,0.152,0.152,0.152,0.153,0.153,0.153,0.153
Four Gaussians,0.048,0.048,0.049,0.049,0.048,0.049,0.049,0.049,0.048,0.049,0.048,0.048,0.048,0.048,0.386,0.049,0.049,0.049,0.049,0.355
Streched Gaussians,0.177,0.173,0.177,0.173,0.177,0.173,0.176,0.173,0.173,0.177,0.177,0.177,0.173,0.177,0.177,0.177,0.177,0.177,0.173,0.177
Combined Structure,0.385,0.387,0.386,0.387,0.366,0.385,0.387,0.386,0.387,0.386,0.372,0.385,0.364,0.386,0.387,0.363,0.372,0.386,0.387,0.387
